Timestamp, Email, Memebership, First Name, Last Name, CIN (N/A if none), Phone number, Discord ID, Birthday, Gender, Major, Class Standing, Senior Design, Excepted graduation date, How did you hear about ACM, Career Exceptation, Buddy System, Interested project workshop, Availability days, Future project recommendations, Confirmation email
"June 30, 2023",sahisneupane23@gmail.com,new,Sahis,Neupane,N/A,6263204768,n,2023-06-08,male,Pre-CS,Freshman,yes,Fall 2023,ACM-Web ECST-Dept,career-guide leadership-dev N/A,Opt in,beginners,sunday tuesday,N/A,sahisneupane23@gmail.com
"July 02, 2023",apcsa2020@gmail.com,returning,Sahis,Neupane,N/A,6263204768,100,2023-07-19,male,Pre-CS,Freshman,yes,Spring 2026,ACM-Web Social-Media,internship-opp scholarship-opp,Opt out,notInterested,sunday tuesday,N/A,apcsa2020@gmail.com
"July 02, 2023",apcsa2020@gmail.com,returning,Sahis,Neupane,N/A,6263204768,100,2023-07-19,male,Pre-CS,Freshman,yes,Spring 2026,ACM-Web Social-Media,internship-opp scholarship-opp,Opt out,notInterested,sunday tuesday,N/A,apcsa2020@gmail.com
"July 02, 2023",apcsa2020@gmail.com,returning,Sahis,Neupane,N/A,6263204768,100,2023-07-19,male,Pre-CS,Freshman,yes,Spring 2026,ACM-Web Social-Media,internship-opp scholarship-opp,Opt out,notInterested,sunday tuesday,N/A,apcsa2020@gmail.com
"July 02, 2023",apcsa2020@gmail.com,returning,Sahis,Neupane,N/A,6263204768,100,2023-07-19,male,Pre-CS,Freshman,yes,Spring 2026,ACM-Web Social-Media,internship-opp scholarship-opp,Opt out,notInterested,sunday tuesday,N/A,apcsa2020@gmail.com
"July 06, 2023",sahisneupane23@gmail.com,new,Sahis,Neupane,N/A,6263204768,100,2023-07-05,male,Pre-CS,Junior,yes,Fall 2023,ACM-Web ACM-Flyer,career-guide,Opt in,beginners,sunday monday,N/A,sahisneupane23@gmail.com
"July 06, 2023",test@gmail.com,new,Johnson,asaa,N/A,6263204768,asmldmals,2023-07-12,male,Electrical Eng,Freshman,yes,Fall 2026,CS-1010 CS-201X,project-exp internship-opp,Opt in,beginners,monday tuesday,N/A,sahisneupane23@gmail.com
"July 06, 2023",sahisneupane23@gmail.com,new,Johnson,asaa,N/A,6263204768,asmldmals,2023-07-12,male,Electrical Eng,Freshman,yes,Fall 2026,CS-1010 CS-201X,project-exp internship-opp,Opt in,beginners,monday tuesday,N/A,sahisneupane23@gmail.com
"July 06, 2023",sahisneupane23@gmail.com,new,Johnson,asaa,N/A,6263204768,asmldmals,2023-07-12,male,Electrical Eng,Freshman,yes,Fall 2026,CS-1010 CS-201X,project-exp internship-opp,Opt in,beginners,monday tuesday,N/A,sahisneupane23@gmail.com
"July 06, 2023",apcsa2020@gmail.com,new,asa,hello,N/A,6263204768,asmldmals,2023-07-12,male,Electrical Eng,Freshman,yes,Fall 2026,CS-1010 CS-201X,project-exp internship-opp,Opt in,beginners,monday tuesday,N/A,sahisneupane23@gmail.com
